Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
Hedge,49,AdultIncome,0.9+0,8.610310344152802e-05,0.061009629921338196,0.0006249292671803768
Prod,1,AdultIncome,0.9+0,0.1243317170210121,0.1316094811868059,0.001316094811868059
Prod,4,AdultIncome,0.9+0,0.028046631969516192,0.04392507873363169,0.0002893818825638042
Prod,7,AdultIncome,0.9+0,0.032985925287568864,0.04392507873363169,0.0007006142922826315
Prod,10,AdultIncome,0.9+0,0.012646767215957791,0.04392507873363169,0.00045955948232271005
Prod,13,AdultIncome,0.9+0,0.02062164109816013,0.04392507873363169,0.000617304750454958
Prod,16,AdultIncome,0.9+0,0.0007666938073725983,0.04392507873363169,0.00048352372953463607
Prod,19,AdultIncome,0.9+0,0.009297302696350228,0.04392507873363169,0.0005410022788113149
Prod,22,AdultIncome,0.9+0,0.0005386062752613091,0.04392507873363169,0.000478719266960902
Prod,25,AdultIncome,0.9+0,0.0007715558959182903,0.04392507873363169,0.000478719266960902
Prod,28,AdultIncome,0.9+0,0.00023047241638901768,0.04392507873363169,0.000478719266960902
Prod,31,AdultIncome,0.9+0,0.0005215385663036888,0.04392507873363169,0.000478719266960902
Prod,34,AdultIncome,0.9+0,5.364534574624778e-05,0.04392507873363169,0.000478719266960902
Prod,37,AdultIncome,0.9+0,0.0013715195359117758,0.04392507873363169,0.000487598996129798
Prod,40,AdultIncome,0.9+0,7.899572846998823e-05,0.04392507873363169,0.00047782554218466904
Prod,43,AdultIncome,0.9+0,0.0007656618074574587,0.04392507873363169,0.0004731988419606427
Prod,46,AdultIncome,0.9+0,5.738008030419182e-06,0.04392507873363169,0.0004783964712135584
Prod,49,AdultIncome,0.9+0,0.00037205083249924355,0.04392507873363169,0.00048086465724880444
GD,1,AdultIncome,0.9+0,0.1243317170210121,0.1316094811868059,0.001316094811868059
GD,4,AdultIncome,0.9+0,0.052077375771892774,0.05328609315431795,0.0005328609315431794
GD,7,AdultIncome,0.9+0,0.0014926598253140078,0.04392507873363169,0.0004785644787004813
GD,10,AdultIncome,0.9+0,0.0862528113060488,0.04392507873363169,0.0006374674939782037
GD,13,AdultIncome,0.9+0,0.0014707932394733064,0.04392507873363169,0.0004785644787004813
GD,16,AdultIncome,0.9+0,0.014686480826573268,0.04392507873363169,0.0004785644787004813
GD,19,AdultIncome,0.9+0,0.00010410722073032793,0.04392507873363169,0.0004785644787004813
GD,22,AdultIncome,0.9+0,0.04184857442895381,0.04392507873363169,0.0005015519012530988
GD,25,AdultIncome,0.9+0,0.025876864297580113,0.04392507873363169,0.0004785644787004813
GD,28,AdultIncome,0.9+0,0.004218733266294739,0.04392507873363169,0.0004785644787004813
GD,31,AdultIncome,0.9+0,0.010427195890973465,0.04392507873363169,0.0004785644787004813
GD,34,AdultIncome,0.9+0,0.019982019870354015,0.04392507873363169,0.0004785644787004813
GD,37,AdultIncome,0.9+0,0.023648054965600556,0.04392507873363169,0.0004785644787004813
GD,40,AdultIncome,0.9+0,0.028679521540472225,0.04392507873363169,0.0004785644787004813
GD,43,AdultIncome,0.9+0,0.03043363297048032,0.04392507873363169,0.0004785644787004813
GD,46,AdultIncome,0.9+0,0.03313219747813432,0.04392507873363169,0.0004785644787004813
GD,49,AdultIncome,0.9+0,0.03416759407080788,0.04392507873363169,0.0004785644787004813
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.12607236105930622,0.12787999336979947,0.0012787999336979947
Hedge-Hedge,4,AdultIncome,0.95+0.9,0.09158122128103277,0.08627548483341621,0.0011192562174002886
Hedge-Hedge,7,AdultIncome,0.95+0.9,0.09158122128103277,0.08627548483341621,0.0011192562174002886
