Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
OGD,1,AdultIncome,0.9+0,0.06596620307894781,0.06540775511077247,0.0008861217500027524,0.06947233964241961
OGD,13,AdultIncome,0.9+0,0.02332226921023742,0.02770369253801626,0.0005585166051689379,0.029678092066304423
OGD,25,AdultIncome,0.9+0,0.0139223314658563,0.01760493434190736,0.00044834043293734643,0.01957230479216764
OGD,37,AdultIncome,0.9+0,0.012842455028134088,0.01834378559468758,0.00044471822765752443,0.01934007709147217
OGD,49,AdultIncome,0.9+0,0.012520933941598115,0.01838578099197047,0.00044330590519646803,0.019495450511781583
OGD,61,AdultIncome,0.9+0,0.0124389906270722,0.018436878049951668,0.00044298137460977674,0.019539476489893456
OGD,73,AdultIncome,0.9+0,0.012418521928599402,0.018451440280440677,0.000442885019638206,0.01955095886729969
OGD,85,AdultIncome,0.9+0,0.012412405587243559,0.018455451606409864,0.0004428572335609475,0.019554697126804587
OGD,97,AdultIncome,0.9+0,0.01241050786544977,0.018456406621933076,0.0004428520931772214,0.019555753513858302
Hedge,1,AdultIncome,0.8+0,0.13260199093797503,0.14130160815996654,0.0014699839288776812,0.1400746347583559
Hedge,13,AdultIncome,0.8+0,0.03451096309857271,0.02316548930768258,0.000778139384127122,0.025393456188325968
Hedge,25,AdultIncome,0.8+0,0.03228244050143779,0.026727819347196122,0.0007724831718470157,0.027055703142608946
Hedge,37,AdultIncome,0.8+0,0.03213398365682604,0.026669463656298492,0.0007718827845934111,0.026998601090775263
Hedge,49,AdultIncome,0.8+0,0.03212218660112962,0.026666914205164316,0.0007718433656699058,0.026996100028815095
Hedge,61,AdultIncome,0.8+0,0.032121595141919194,0.026666934130648894,0.0007718421802624251,0.026996115542924883
Hedge,73,AdultIncome,0.8+0,0.032121553549844147,0.026666921680268775,0.0007718420367764015,0.026996103241120156
Hedge,85,AdultIncome,0.8+0,0.03212155032412038,0.026666922249266794,0.0007718420320462383,0.02699610377641501
Hedge,97,AdultIncome,0.8+0,0.032121550071408406,0.02666692226516675,0.0007718420315249853,0.026996103790950524
Prod,1,AdultIncome,0.95+0,0.09044868124981675,0.09912870211031616,0.0011080155782990685,0.09794719657638777
Prod,13,AdultIncome,0.95+0,0.013978392799575075,0.04055481685586462,0.0006364476437673536,0.03377794483147303
Prod,25,AdultIncome,0.95+0,0.007090161759512212,0.022677265603639852,0.000519625790915084,0.02499273800708012
Prod,37,AdultIncome,0.95+0,0.0049486780940169,0.027067836367339202,0.0005001709150862669,0.028987803885297172
Prod,49,AdultIncome,0.95+0,0.003874923345420563,0.027349213117522548,0.0004790587743526158,0.02826998709755472
Prod,61,AdultIncome,0.95+0,0.003825618926046122,0.02197185458713391,0.0004918336452605659,0.022792795133485075
Prod,73,AdultIncome,0.95+0,0.0033987741729370295,0.021972943749680517,0.0004836134790756765,0.023041702096562713
Prod,85,AdultIncome,0.95+0,0.0032763247712398083,0.021968907423256884,0.0004810649330581628,0.020481171526331415
Prod,97,AdultIncome,0.95+0,0.0032237615375263124,0.02196662660239492,0.00048015903963399614,0.0202722561254593
GD,1,AdultIncome,0.9+0,0.2055206277821119,0.21425414364640885,0.0021425414364640884,0.21294851794071762
GD,13,AdultIncome,0.9+0,0.04047394240011654,0.021215469613259673,0.0007385693376634633,0.023472503900156032
GD,25,AdultIncome,0.9+0,0.011501670729773776,0.021215469613259673,0.0006669765793567967,0.023472503900156032
GD,37,AdultIncome,0.9+0,0.011368352760313892,0.020253701657458555,0.0006259240075362017,0.023472503900156032
GD,49,AdultIncome,0.9+0,0.01151872217639447,0.020253701657458555,0.0006259240075362017,0.023472503900156032
GD,61,AdultIncome,0.9+0,0.012372463475429913,0.020376293818709038,0.0006354302768822914,0.023472503900156032
GD,73,AdultIncome,0.9+0,0.012610192260981359,0.020411355955718937,0.0006381491303135849,0.023472503900156032
GD,85,AdultIncome,0.9+0,0.012674252234772747,0.020421656795629788,0.0006389478971979006,0.023472503900156032
GD,97,AdultIncome,0.9+0,0.012692293240841701,0.02042457270265676,0.0006391740078831501,0.023472503900156032
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.20751686476068107,0.21016574585635361,0.002101657458563536,0.2064482579303172
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.06287803001855066,0.04687037266372554,0.0008045445024719134,0.047087129808385225
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.05203195080301495,0.0356568969391388,0.0004911315746574227,0.03399623442854521
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.03824822637073311,0.03501647423407084,0.0004747203972853386,0.033529625226612084
Hedge-Hedge,49,AdultIncome,0.95+0.9,0.03826976438972165,0.032545252620817325,0.0004204605354823817,0.03006554989929673
Hedge-Hedge,61,AdultIncome,0.95+0.9,0.024315621508598634,0.025987372041799524,0.0003883888606701492,0.02761284204298778
Hedge-Hedge,73,AdultIncome,0.95+0.9,0.024315621508598634,0.026083169410182325,0.0003917377234737798,0.0280280579118237
Hedge-Hedge,85,AdultIncome,0.95+0.9,0.024315621508598634,0.02612829861547017,0.0003988806317175067,0.0282239625522342
Hedge-Hedge,97,AdultIncome,0.95+0.9,0.023928162109587287,0.02614380167654971,0.000400908786191485,0.028306246932147724
OGD-OGD,1,AdultIncome,0.95+0.99,0.07861540390146751,0.07729597076789643,0.000874839746956486,0.06930867366504082
OGD-OGD,13,AdultIncome,0.95+0.99,0.04519388608841333,0.04082624666433305,0.0006400381281610881,0.03874325351558459
OGD-OGD,25,AdultIncome,0.95+0.99,0.026083317690244943,0.06528309937692532,0.0005741389386798268,0.0605960687106806
OGD-OGD,37,AdultIncome,0.95+0.99,0.016187238250079176,0.036981510972873,0.0005423318069193889,0.03656847414846975
OGD-OGD,49,AdultIncome,0.95+0.99,0.01524623087279731,0.0347852845794581,0.0005189348291302213,0.03521450091592154
OGD-OGD,61,AdultIncome,0.95+0.99,0.024996473789391533,0.03832489773136643,0.00049887415448806,0.03793352410721105
OGD-OGD,73,AdultIncome,0.95+0.99,0.02696179068239263,0.025941809694056503,0.00048515209673575144,0.025115773283794215
OGD-OGD,85,AdultIncome,0.95+0.99,0.02696179068239263,0.0231283311951785,0.00047621731603010613,0.019675826425124367
OGD-OGD,97,AdultIncome,0.95+0.99,0.026731078745135736,0.022431856876098034,0.0004743582698173147,0.01886956654755454
OGD,1,AdultIncome,0.9+0,0.0668556741644361,0.06639013135096578,0.0009202549046698788,0.06327688542745603
OGD,13,AdultIncome,0.9+0,0.020543444854702605,0.024341003851377246,0.00045484937866467607,0.024608165271147394
OGD,25,AdultIncome,0.9+0,0.01654384926931634,0.01850387301629371,0.0004119060806652333,0.02070670305420862
OGD,37,AdultIncome,0.9+0,0.013620282183027226,0.018429380054368706,0.0004067428635778193,0.021351801364811348
OGD,49,AdultIncome,0.9+0,0.013149188799569828,0.018541468661371584,0.0004044592844705026,0.021616958454025358
OGD,61,AdultIncome,0.9+0,0.012998920342669047,0.01860466396674204,0.0004037379088097845,0.021688541136800174
OGD,73,AdultIncome,0.9+0,0.012959690454323398,0.01862175225532802,0.00040354876215055826,0.021707897409134726
OGD,85,AdultIncome,0.9+0,0.012948995233237226,0.018625640154207455,0.0004035029974649081,0.021712301315888805
OGD,97,AdultIncome,0.9+0,0.012945789278411517,0.0186272878713657,0.00040348608462334587,0.021714167720583745
Hedge,1,AdultIncome,0.8+0,0.13462992970263868,0.13749673292935036,0.0014562155668502478,0.13306117838751627
Hedge,13,AdultIncome,0.8+0,0.034335661610795445,0.03988239347286502,0.0007763006459894431,0.03562037017521167
