Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
OGD-OGD,13,AdultIncome,0.95+0.99,0.09736959626316828,0.05824943843854578,0.0004917327472194196
OGD-OGD,16,AdultIncome,0.95+0.99,0.09156153818553026,0.05430682370526746,0.00045230659988663627
OGD-OGD,19,AdultIncome,0.95+0.99,0.01489665009271927,0.02771684426796298,0.0003343078335268537
OGD-OGD,22,AdultIncome,0.95+0.99,0.01489665009271927,0.02771684426796298,0.0003343078335268537
OGD-OGD,25,AdultIncome,0.95+0.99,0.009117804613100399,0.02771684426796298,0.00031525873890806175
OGD-OGD,28,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.0002996128740212247
OGD-OGD,31,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.00027540764143455226
OGD-OGD,34,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.00026601430894501575
OGD-OGD,37,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.00026601430894501575
OGD-OGD,40,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.00026601430894501575
OGD-OGD,43,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.00026601430894501575
OGD-OGD,46,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.00026601430894501575
OGD-OGD,49,AdultIncome,0.95+0.99,0.006600446210875656,0.02771684426796298,0.00026601430894501575
OGD-OGD,1,AdultIncome,0.9+0.99,0.1252849268515065,0.1253107906514172,0.001253107906514172
OGD-OGD,4,AdultIncome,0.9+0.99,0.06288058789351338,0.08320901707276646,0.0010474013927085112
OGD-OGD,7,AdultIncome,0.9+0.99,0.043672285371142226,0.08320901707276646,0.0009840841135901278
OGD-OGD,10,AdultIncome,0.9+0.99,0.03249218678858638,0.06262742720962963,0.0007414147021770722
OGD-OGD,13,AdultIncome,0.9+0.99,0.025792161723471325,0.05612937375985812,0.000654348543160794
OGD-OGD,16,AdultIncome,0.9+0.99,0.025792161723471325,0.04551266080315564,0.0005481814135937692
OGD-OGD,19,AdultIncome,0.9+0.99,0.025792161723471325,0.03529834944714485,0.0004460383000336612
OGD-OGD,22,AdultIncome,0.9+0.99,0.025792161723471325,0.03529834944714485,0.0004460383000336612
OGD-OGD,25,AdultIncome,0.9+0.99,0.01992207875091951,0.03529834944714485,0.0004266884547473191
OGD-OGD,28,AdultIncome,0.9+0.99,0.0172237968476297,0.03529834944714485,0.0004177939744458089
OGD-OGD,31,AdultIncome,0.9+0.99,0.014396103480993381,0.03529834944714485,0.00040847290872706615
OGD-OGD,34,AdultIncome,0.9+0.99,0.012410816084143598,0.03529834944714485,0.00040192870753645376
