Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
OGD-OGD,97,Bank Market,0.9+0.99,0.06569992022620101,0.059868210154472724,0.0005087404607543065,0.07203363051998596
Hedge-Hedge,1,Bank Market,0.95+0.95,0.5729641943301912,0.5755923646050536,0.005755923646050536,0.5664338509046202
Hedge-Hedge,13,Bank Market,0.95+0.95,0.08930816165004851,0.09358552958135631,0.0009464694265517318,0.08326631122246687
Hedge-Hedge,25,Bank Market,0.95+0.95,0.08930816165004851,0.09358552958135631,0.0009464694265517318,0.08326631122246687
Hedge-Hedge,37,Bank Market,0.95+0.95,0.07987292364852673,0.07442617265283531,0.0007336475957901845,0.08527953021280668
Hedge-Hedge,49,Bank Market,0.95+0.95,0.07987292364852673,0.07442617265283531,0.0007336475957901845,0.08527953021280668
Hedge-Hedge,61,Bank Market,0.95+0.95,0.0669363566271178,0.06157902344287549,0.0006051761036905862,0.07239153762155856
Hedge-Hedge,73,Bank Market,0.95+0.95,0.09413069951785964,0.08372344984785879,0.0006589076742431716,0.09607887661718001
Hedge-Hedge,85,Bank Market,0.95+0.95,0.09413069951785964,0.08372344984785879,0.0006944299657629275,0.09607887661718001
Hedge-Hedge,97,Bank Market,0.95+0.95,0.09300059619979882,0.08331667781315122,0.0007013992747879813,0.09565069049327177
Hedge-Hedge,1,Bank Market,0.9+0.95,0.5864052566172911,0.5889781027475256,0.005889781027475256,0.5798583733434537
Hedge-Hedge,13,Bank Market,0.9+0.95,0.13759096338518362,0.14153459961976886,0.0014268920843642143,0.13136781991617782
Hedge-Hedge,25,Bank Market,0.9+0.95,0.13759096338518362,0.14153459961976886,0.0014268920843642143,0.13136781991617782
Hedge-Hedge,37,Bank Market,0.9+0.95,0.061968093191952275,0.06643443622634228,0.0006758904504299486,0.06077351522168947
Hedge-Hedge,49,Bank Market,0.9+0.95,0.054583607897183,0.052355921174573605,0.0005627401993431088,0.05457200810863074
Hedge-Hedge,61,Bank Market,0.9+0.95,0.05289520849614815,0.05064410803710679,0.0005456220679684406,0.052871147507424235
Hedge-Hedge,73,Bank Market,0.9+0.95,0.052422323803125156,0.050164665655447783,0.0005408276441518506,0.052394772697777016
Hedge-Hedge,85,Bank Market,0.9+0.95,0.052289082879149976,0.05002957702418595,0.0005394767578392322,0.052260548391656746
Hedge-Hedge,97,Bank Market,0.9+0.95,0.0522514768664289,0.04999144951325229,0.0005390954827298956,0.05222266482846283
OGD-OGD,1,Bank Market,0.95+0.95,0.3358828572332997,0.3394868672075829,0.003394868672075829,0.32964425334873815
OGD-OGD,13,Bank Market,0.95+0.95,0.05024733081254173,0.04795951113282891,0.0005122239745001168,0.05020372721214346
OGD-OGD,25,Bank Market,0.95+0.95,0.04617587188144477,0.0368080504656999,0.00035016753286041413,0.0490139542065669
OGD-OGD,37,Bank Market,0.95+0.95,0.04617587188144477,0.0368080504656999,0.0005528185304455334,0.0490139542065669
OGD-OGD,49,Bank Market,0.95+0.95,0.04617587188144477,0.0368080504656999,0.0005882866324690771,0.0490139542065669
OGD-OGD,61,Bank Market,0.95+0.95,0.01673062163054017,0.019823212965858227,0.00036367002451602047,0.02768290235804548
OGD-OGD,73,Bank Market,0.95+0.95,0.024869780111738023,0.01946381476346549,0.00033062080373825694,0.021526059626060298
OGD-OGD,85,Bank Market,0.95+0.95,0.02210679567686803,0.021148886070856097,0.00037372279321436246,0.024044619442455326
OGD-OGD,97,Bank Market,0.95+0.95,0.021167023695714857,0.0228447628692779,0.00041598586273466784,0.02649688101696695
OGD-OGD,1,Bank Market,0.9+0.95,0.35893520055912714,0.3624443258324151,0.003624443258324151,0.35266822970083644
OGD-OGD,13,Bank Market,0.9+0.95,0.08675859628781235,0.09105358686618376,0.0009166888667392218,0.08072631900930674
OGD-OGD,25,Bank Market,0.9+0.95,0.075458138627305,0.06545561958246902,0.0004956755020090567,0.07775282535526169
OGD-OGD,37,Bank Market,0.9+0.95,0.075458138627305,0.06545561958246902,0.0005712472954168304,0.07775282535526169
OGD-OGD,49,Bank Market,0.9+0.95,0.07348618938864072,0.0647458315557178,0.0005729284845709667,0.07700567127867994
OGD-OGD,61,Bank Market,0.9+0.95,0.07126659370965494,0.06394690508931435,0.0005595762307315063,0.07616468616232837
OGD-OGD,73,Bank Market,0.9+0.95,0.07063405908038081,0.06371922909362365,0.0005557693910567626,0.07592502440148023
OGD-OGD,85,Bank Market,0.9+0.95,0.0704549597131557,0.06365476364798113,0.0005546913602398226,0.07585716523973736
OGD-OGD,97,Bank Market,0.9+0.95,0.0704043405947301,0.06363654368395838,0.000554386663508886,0.07583798610472565
Hedge-Hedge,1,Bank Market,0.95+0.9,0.5729641943301909,0.5755923646050536,0.005755923646050536,0.5664338509046198
Hedge-Hedge,13,Bank Market,0.95+0.9,0.08930816165004851,0.09358552958135631,0.0009464694265517318,0.08326631122246687
Hedge-Hedge,25,Bank Market,0.95+0.9,0.08930816165004851,0.09358552958135631,0.0009464694265517318,0.08326631122246687
Hedge-Hedge,37,Bank Market,0.95+0.9,0.06637288368668698,0.06101944523874323,0.0005995803216492636,0.07183018041839896
Hedge-Hedge,49,Bank Market,0.95+0.9,0.09384914942405415,0.08344800239557908,0.0007591067393069352,0.09580255129243662
Hedge-Hedge,61,Bank Market,0.95+0.9,0.09384914942405415,0.08344800239557908,0.0008137969305449909,0.09580255129243662
Hedge-Hedge,73,Bank Market,0.95+0.9,0.0852087523033571,0.0803379576224182,0.000772030655124448,0.09252878145828686
Hedge-Hedge,85,Bank Market,0.95+0.9,0.07336604307726034,0.07607526513106688,0.0007016874345354369,0.08804168396989309
Hedge-Hedge,97,Bank Market,0.95+0.9,0.06656706042571389,0.07362802339404033,0.0006611786762432517,0.08546560974591763
Hedge-Hedge,1,Bank Market,0.9+0.9,0.5864052566172911,0.5889781027475256,0.005889781027475256,0.5798583733434537
Hedge-Hedge,13,Bank Market,0.9+0.9,0.13759096338518362,0.14153459961976886,0.0014268920843642143,0.13136781991617782
Hedge-Hedge,25,Bank Market,0.9+0.9,0.13759096338518362,0.14153459961976886,0.0014268920843642143,0.13136781991617782
Hedge-Hedge,37,Bank Market,0.9+0.9,0.061968093191952275,0.06643443622634228,0.0006758904504299486,0.06077351522168947
Hedge-Hedge,49,Bank Market,0.9+0.9,0.05458360789718298,0.052355921174573605,0.0005627401993431088,0.05457200810863071
Hedge-Hedge,61,Bank Market,0.9+0.9,0.05289520849614801,0.05064410803710667,0.0005456220679684394,0.052871147507424075
Hedge-Hedge,73,Bank Market,0.9+0.9,0.052422323803125156,0.050164665655447624,0.000540827644151849,0.052394772697776905
Hedge-Hedge,85,Bank Market,0.9+0.9,0.05228908287914966,0.050029577024185784,0.0005394767578392306,0.052260548391656475
Hedge-Hedge,97,Bank Market,0.9+0.9,0.05225147686642874,0.04999144951325205,0.0005390954827298932,0.05222266482846266
OGD-OGD,1,Bank Market,0.95+0.9,0.3358828572332997,0.33948686720758303,0.0033948686720758304,0.32964425334873815
OGD-OGD,13,Bank Market,0.95+0.9,0.05024733081254173,0.04795951113282891,0.000511951304573546,0.05020372721214346
OGD-OGD,25,Bank Market,0.95+0.9,0.046175871881444744,0.036808050465699835,0.0003427855845591458,0.0490139542065669
OGD-OGD,37,Bank Market,0.95+0.9,0.046175871881444744,0.036808050465699835,0.000554690010766896,0.0490139542065669
OGD-OGD,49,Bank Market,0.95+0.9,0.046175871881444744,0.036808050465699835,0.0005941937350553744,0.0490139542065669
OGD-OGD,61,Bank Market,0.95+0.9,0.01754058405014961,0.02055199521306121,0.00037658116167852367,0.028274837180350204
OGD-OGD,73,Bank Market,0.95+0.9,0.01754058405014961,0.0205099451735252,0.0003647620427791737,0.027074968492562242
OGD-OGD,85,Bank Market,0.95+0.9,0.012640019675144002,0.023636622344408744,0.00044329548150833566,0.03163843442943719
OGD-OGD,97,Bank Market,0.95+0.9,0.010784330201702892,0.02657334179955069,0.0005156623920751171,0.03582064402306193
OGD-OGD,1,Bank Market,0.9+0.9,0.35893520055912714,0.3624443258324151,0.003624443258324151,0.35266822970083644
OGD-OGD,13,Bank Market,0.9+0.9,0.08675859628781235,0.09143181156591298,0.0009143181156591299,0.08086609172415579
OGD-OGD,25,Bank Market,0.9+0.9,0.075458138627305,0.06507739488273995,0.0004980462530891495,0.0776130526404124
OGD-OGD,37,Bank Market,0.9+0.9,0.075458138627305,0.06507739488273995,0.0005736180464969232,0.0776130526404124
OGD-OGD,49,Bank Market,0.9+0.9,0.07399097588498348,0.06454930088955939,0.0005819441635960545,0.0770571576901564
OGD-OGD,61,Bank Market,0.9+0.9,0.0717785199355031,0.06375294431411359,0.0005686946799528549,0.07621887775398961
OGD-OGD,73,Bank Market,0.9+0.9,0.07114801324667283,0.06352599826005534,0.0005649170880577505,0.07597998436178925
OGD-OGD,85,Bank Market,0.9+0.9,0.07096948754020016,0.0634617392992073,0.0005638473354389431,0.07591234255501737
OGD-OGD,97,Bank Market,0.9+0.9,0.07091903051303763,0.06344357767869328,0.0005635449781328037,0.07589322483494748
OGD,1,Bank Market,0.85+0,0.3838873641083486,0.3797965473993905,0.0037979654739939053,0.375372525706602
OGD,13,Bank Market,0.85+0,0.008700124074806756,0.025324807261978565,0.0002413540990813766,0.032269556796921214
OGD,25,Bank Market,0.85+0,0.005667960852184369,0.026820598467611402,0.0002647888273572088,0.033534498786800995
OGD,37,Bank Market,0.85+0,0.005252924985618145,0.02694461607136525,0.0002758843749953081,0.033640659749659456
OGD,49,Bank Market,0.85+0,0.005197104464591927,0.02696299573376415,0.00027742900805530034,0.0336563929631837
OGD,61,Bank Market,0.85+0,0.0051891356530752285,0.026966289213840644,0.0002776365004007769,0.03365921222041432
OGD,73,Bank Market,0.85+0,0.005187882177857861,0.026966595938942996,0.000277668819800104,0.0336594747806429
OGD,85,Bank Market,0.85+0,0.005187716674917412,0.026966646339770247,0.0002776732990240131,0.03365951792433252
OGD,97,Bank Market,0.85+0,0.005187694557064646,0.026966655564013946,0.00027767390041357436,0.033659525820391514
Hedge,1,Bank Market,0.85+0,0.6012999726609037,0.5971776868950321,0.005971776868950321,0.5917319108482512
Hedge,13,Bank Market,0.85+0,0.017848056480341733,0.021426496361148767,0.0002757074840876212,0.02228940362257443
Hedge,25,Bank Market,0.85+0,0.009977356179361307,0.019716204387893906,0.00022435751164477706,0.020533221443619316
Hedge,37,Bank Market,0.85+0,0.009443868601925708,0.019034916157876253,0.00021506650825211458,0.01983365247935374
Hedge,49,Bank Market,0.85+0,0.009359074773160435,0.018988579536590663,0.000214194755840368,0.01978607251474152
Hedge,61,Bank Market,0.85+0,0.00934690240336922,0.01898187002423477,0.00021407942551062952,0.019779182966968217
Hedge,73,Bank Market,0.85+0,0.009344854354702146,0.018979484628043768,0.0002140468772515127,0.01977673356376384
Hedge,85,Bank Market,0.85+0,0.6132424688031105,0.6097026859114631,0.006097026859114631,0.6041429923361228
Hedge,97,Bank Market,0.85+0,0.6132411438065671,0.6097013651565141,0.0060970136515651405,0.6041416774075304
Prod,1,Bank Market,0.85+0,0.5327315349357973,0.5286191740040168,0.005286191740040168,0.5234956428364931
Prod,13,Bank Market,0.85+0,0.007168303464538708,0.02923488541985696,0.00028699602398200624,0.031774713708691414
Prod,25,Bank Market,0.85+0,0.005105822384346879,0.04024157969678124,0.0003235697411997021,0.043868020547947514
Prod,37,Bank Market,0.85+0,0.6120841768512979,0.6085448055487992,0.006085448055487992,0.6029905313632198
Prod,49,Bank Market,0.85+0,0.6088491872693329,0.6029952617032723,0.006053201718529394,0.5977959133466195
Prod,61,Bank Market,0.85+0,0.6083895378302632,0.6025370836993088,0.006048619938489759,0.5973397565417427
Prod,73,Bank Market,0.85+0,0.6083241674608558,0.6024719225942846,0.006047968327439517,0.5972748828873705
Prod,85,Bank Market,0.85+0,0.6083148692658046,0.6024626541647232,0.006047875643143903,0.5972656553444105
Prod,97,Bank Market,0.85+0,0.6083135466793607,0.6024613358121583,0.006047862459618254,0.5972643428076047
GD,1,Bank Market,0.85+0,0.8386449914278715,0.834488351518726,0.00834488351518726,0.8279271465741543
GD,13,Bank Market,0.85+0,0.1661546301030415,0.2336242778567245,0.003075699975186801,0.21665985081774927
GD,25,Bank Market,0.85+0,0.12720714013387663,0.2336242778567245,0.0029805714029310475,0.21665985081774927
GD,37,Bank Market,0.85+0,0.1506006053377255,0.2336242778567245,0.0029072454878542584,0.21665985081774927
GD,49,Bank Market,0.85+0,0.15392813293382487,0.2336242778567245,0.0029322481503321583,0.21665985081774927
